"id","name","popularity","followers.total","genre"
"3TVXtAsR1Inumwj472S9r4","Drake",96,86309115,"hip hop"
"1RyvyyTE3xzB2ZywiAwp0i","Future",93,16512389,"hip hop"
"5K4W6rqBFWDnAN6FQUkS6x","Kanye West",94,24762907,"hip hop"
"0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott",94,28481904,"hip hop"
"0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin",93,7622134,"hip hop"
"1URnnhqYAYcrqrcwql10ft","21 Savage",91,17977540,"hip hop"
"2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar",90,27467888,"hip hop"
"6l3HvQ5sa6mXTsMTB19rO5","J. Cole",88,23185786,"hip hop"
"699OTQXzgjhIYAHMy9RyPD","Playboi Carti",89,10391867,"hip hop"
"1VPmR4DJC1PlOtd0IADAO0","$uicideboy$",85,6916479,"hip hop"
"7dGJo4pcD2V6oG8kP0tJRR","Eminem",90,82805059,"hip hop"
"5f7VJjfbwm532GiveGC0ZK","Lil Baby",86,17092039,"hip hop"
"55Aa2cqylxrFIXC767Z865","Lil Wayne",86,14338298,"hip hop"
"7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign",88,5165695,"hip hop"
"0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",87,30790951,"hip hop"
"4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",85,14552238,"hip hop"
"2h93pZq0e7k5yf4dywlkpM","Frank Ocean",85,13425303,"hip hop"
"4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert",84,16897058,"hip hop"
"15UsOTVnJzReFVN1VCnxy4","XXXTENTACION",86,44227867,"hip hop"
"2hlmm7s2ICUX0LVIhVFlZQ","Gunna",84,6964890,"hip hop"
"2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller",83,8212134,"hip hop"
"50co4Is1HCEo8bhOyUWKpn","Young Thug",84,9723756,"hip hop"
"4LLpKhyESsyAXpc4laK94U","Mac Miller",82,10226112,"hip hop"
"3hcs9uc56yIGFCSy9leWe7","Lil Durk",81,7298485,"hip hop"
"13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky",83,13749362,"hip hop"
"3nFkdlSjzX9mRTtwJOzDYB","JAY-Z",84,8937282,"hip hop"
"46SHBwWsqBkxI7EeeBEQG7","Kodak Black",80,10352994,"hip hop"
"2kCcBybjl3SAtIcwdWpUe3","Lil Peep",83,11805982,"hip hop"
"6icQOAFXDZKsumw3YXyusw","Lil Yachty",80,9785524,"hip hop"
"23zg3TcAtWQy7J6upgbUnj","USHER",83,11190351,"hip hop"
"6qxpnaukVayrQn6ViNvu9I","BigXthaPlug",78,546647,"hip hop"
"19k8AgwwTSxeaxkOuCQEJs","Jelly Roll",78,3357958,"hip hop"
"0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",81,6941553,"hip hop"
"2LIk90788K0zvyj2JJVwkJ","Jack Harlow",83,3701744,"hip hop"
"0TnOYISbd1XYRBk9myaseg","Pitbull",84,10197373,"hip hop"
"2jku7tDXc6XoB6MO2hFuqg","Tory Lanez",81,6553531,"hip hop"
"0RESbWvOMyua0yuyVrztJ5","Key Glock",77,1951766,"hip hop"
"4DdkRBBYG6Yk9Ka8tdJ9BW","Offset",80,3867172,"hip hop"
"0ErzCpIMyLcjPiwT4elrtZ","NLE Choppa",79,7862145,"hip hop"
"4VMYDCV2IEDYJArk749S6m","Daddy Yankee",86,33416639,"hip hop"
"3q7HBObVc0L8jNeTe5Gofh","50 Cent",83,14014919,"hip hop"
"4r63FhuTkUYltbVAg5TQnk","DaBaby",79,11815948,"hip hop"
"7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg",82,11386567,"hip hop"
"137W8MRPWKqSmrBGDBFSop","Wiz Khalifa",81,10913061,"hip hop"
"1pPmIToKXyGdsCF6LmqLmI","Rich The Kid",80,3256509,"hip hop"
"6fOMl44jA4Sp5b9PpYCkzz","NF",79,9688637,"hip hop"
"73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino",79,12405347,"hip hop"
"6TIYQ3jFPwQSRmorSezPxX","mgk",79,5205198,"hip hop"
"3tJoFztHeIJkJWMrx0td2f","Moneybagg Yo",76,4387574,"hip hop"
"3aQeKQSyrW4qWr35idm0cy","T-Pain",78,4708587,"hip hop"
